,Home_Team,Away_Team,Result,Link,Season,Round,League,Elo_home,Elo_away,Home_Goals,Away_Goals,Outcome,Home_Win,Home_Attack,Away_Attack,Home_Team_Outcome_sum_10,Away_Team_Outcome_sum_10
1137,Casa Pia,Chaves,1-0,https://www.besoccer.com/match/casa-pia/chaves/2022,2022,9,segunda_liga,49,57,1.0,0.0,1.0,1.0,2.0408163265306123,1.0535714285714286,3.0,2.0
1138,Porto II,Farense,0-0,https://www.besoccer.com/match/porto-ii/farense/2022,2022,9,segunda_liga,52,56,0.0,0.0,0.0,0.0,1.0782828282828283,1.273972602739726,1.0,2.0
1139,Benfica II,Acad̩mica,3-1,https://www.besoccer.com/match/benfica-ii/academica/2022,2022,9,segunda_liga,54,57,3.0,1.0,1.0,1.0,1.569148936170213,0.417910447761194,3.0,4.0
1140,Feirense,CF Estrela,1-2,https://www.besoccer.com/match/feirense/cf-estrela-de-amadora/2022,2022,9,segunda_liga,59,49,1.0,2.0,-1.0,0.0,1.1207865168539326,0.8059701492537313,2.0,1.0
1141,Nacional,Mafra,1-1,https://www.besoccer.com/match/nacional/mafra/2022,2022,9,segunda_liga,55,48,1.0,1.0,0.0,0.0,1.5350877192982457,1.471014492753623,1.0,0.0
1142,Trofense,SC Covilha,3-0,https://www.besoccer.com/match/trofense/sporting-covilha/2022,2022,9,segunda_liga,42,55,3.0,0.0,1.0,1.0,0.3118811881188119,0.6428571428571428,0.0,0.0
1143,US Alessandria,Crotone,1-0,https://www.besoccer.com/match/us-alessandria-1912/fc-crotone/2022,2022,9,serie_b,49,65,1.0,0.0,1.0,1.0,0.6842105263157895,0.9824561403508771,-1.0,2.0
1144,Lecce,Perugia,0-0,https://www.besoccer.com/match/lecce/perugia/2022,2022,9,serie_b,61,58,0.0,0.0,0.0,0.0,1.5814814814814815,0.7608695652173914,2.0,-2.0
1145,AC Monza,Cittadella,1-0,https://www.besoccer.com/match/ac-monza-brianza-1912/as-cittadella/2022,2022,9,serie_b,52,58,1.0,0.0,1.0,1.0,1.0843373493975905,0.5203252032520325,2.0,1.0
1146,Ternana Calcio,Vicenza,5-0,https://www.besoccer.com/match/ternana-calcio/vicenza-calcio/2022,2022,9,serie_b,49,46,5.0,0.0,1.0,1.0,0.8477011494252873,1.3125,0.0,2.0
